0,agama,small terrestrial lizard of warm regions of the Old World
1,bullfrog,largest North American frog; highly aquatic with a deep-pitched voice
2,centipede,chiefly nocturnal predacious arthropod having a flattened body of 15 to 173 segments each with a pair of legs the foremost pair being modified as prehensors
3,chickadee,any of various small grey-and-black songbirds of North America
4,drake,adult male of a wild or domestic duck
5,goldfinch,American finch whose male has yellow body plumage in summer
6,goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
7,hen,adult female chicken
8,hummingbird,tiny American bird having brilliant iridescent plumage and long slender bills; wings are specialized for vibrating flight
9,jacamar,tropical American insectivorous bird having a long sharp bill and iridescent green or bronze plumage
10,jay,crested largely blue bird
11,jellyfish,large siphonophore having a bladderlike float and stinging tentacles
12,koala,sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark
13,lorikeet,any of various small lories
14,macaw,long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots
15,magpie,long-tailed black-and-white crow that utters a raucous chattering call
16,ostrich,fast-running African flightless bird with two-toed feet; largest living bird
17,partridge,heavy-bodied small-winged South American game bird resembling a gallinaceous bird but related to the ratite birds
18,peacock,European butterfly having reddish-brown wings each marked with a purple eyespot
19,quail,small gallinaceous game birds
20,robin,small Old World songbird with a reddish breast
21,scorpion,arachnid of warm dry regions having a long segmented tail ending in a venomous stinger
22,slug,any of various terrestrial gastropods having an elongated slimy body and no external shell
23,snail,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
24,stingray,large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds
25,tarantula,large southern European spider once thought to be the cause of tarantism (uncontrollable bodily movement)
26,terrapin,any of various edible North American web-footed turtles living in fresh or brackish water
27,triceratops,huge ceratopsian dinosaur having three horns and the neck heavily armored with a very solid frill
28,trilobite,an extinct arthropod that was abundant in Paleozoic times; had an exoskeleton divided into three parts
29,vulture,any of various large diurnal birds of prey having naked heads and weak claws and feeding chiefly on carrion
